,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
47,96,the_and_to_was_in,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",92,de_la_le_un_et,95,the_and_to_was_is,1.5753261979071194
46,95,the_and_to_was_is,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48]",93,four_seasons_stay_ritz_stayed,94,the_and_was_is_to,1.3891702538958468
45,94,the_and_was_is_to,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 12, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 31, 34, 35, 40, 43, 44, 45, 47, 48]",91,the_and_is_was_to,72,staff_friendly_helpful_concierge_and,1.1846515541734273
44,93,four_seasons_stay_ritz_stayed,"[9, 13, 18, 29, 32, 33, 36, 37, 38, 39, 41, 42]",51,ritz_carlton_at_the_stayed,90,four_seasons_stay_here_stayed,1.16240912256107
43,92,de_la_le_un_et,"[4, 11, 23, 30, 46]",87,00_lol_ten_russian_plural,79,de_la_le_un_et,1.1172073373207119
42,91,the_and_is_was_to,"[0, 1, 2, 5, 6, 7, 8, 10, 12, 14, 16, 17, 19, 20, 22, 24, 25, 26, 27, 31, 34, 35, 40, 43, 44, 45, 47, 48]",89,the_is_and_to_was,81,view_bathroom_shower_the_room,1.112040925377558
41,90,four_seasons_stay_here_stayed,"[9, 13, 18, 29, 32, 33, 38, 39, 41, 42]",84,four_seasons_boston_stayed_at,75,stay_again_here_will_back,1.0472935380814723
40,89,the_is_and_to_was,"[0, 1, 2, 5, 8, 14, 17, 19, 22, 24, 26, 27, 31, 34, 35, 40, 43, 44, 45, 48]",82,lobby_elevators_bags_to_elevator,88,the_is_and_to_of,1.04541518059643
39,88,the_is_and_to_of,"[0, 1, 2, 5, 8, 14, 17, 19, 22, 24, 26, 27, 34, 40, 43, 44]",50,location_is_walk_shopping_walking,86,the_and_was_is_service,1.0306667043262485
38,87,00_lol_ten_russian_plural,"[30, 46]",30,lol_cooney_gauvin_plural_russian,46,00_ten_10_ouch_out,0.9971385481945201
37,86,the_and_was_is_service,"[0, 1, 5, 8, 14, 17, 19, 22, 24, 26, 27, 40, 43, 44]",85,the_and_was_service_is,83,worth_decor_furnishings_expensive_it,0.9603086713423357
36,85,the_and_was_service_is,"[0, 1, 5, 8, 14, 17, 19, 22, 24, 26, 27, 43]",80,the_service_hotel_was_breakfast,73,pool_spa_gym_the_area,0.9568131963989295
35,84,four_seasons_boston_stayed_at,"[9, 13, 33, 38, 39, 41, 42]",69,boston_mandarin_oriental_harbor_in,77,four_seasons_stayed_chicago_at,0.9313469632335298
34,83,worth_decor_furnishings_expensive_it,"[40, 44]",40,decor_furnishings_modern_style_elegant,44,worth_expensive_penny_cheap_every,0.9146647433804165
33,82,lobby_elevators_bags_to_elevator,"[31, 35, 45, 48]",58,bags_our_check_bellman_ready,70,lobby_elevators_elevator_the_to,0.9009638299845312
32,81,view_bathroom_shower_the_room,"[6, 7, 10, 12, 16, 20, 25, 47]",52,nyc_york_new_ny_in,76,shower_bathroom_view_room_the,0.8859519636966656
31,80,the_service_hotel_was_breakfast,"[0, 1, 5, 14, 17, 19, 24, 27, 43]",78,the_hotel_breakfast_this_and,61,service_housekeeping_turndown_turn_was,0.881727094912671
30,79,de_la_le_un_et,"[4, 11, 23]",66,de_la_le_et_que,11,di_il_la_che_molto,0.8765418328500114
29,78,the_hotel_breakfast_this_and,"[0, 1, 5, 19, 24, 27, 43]",43,property_this_is_overall_say,71,hotel_the_breakfast_and_was,0.8650600532850701
28,77,four_seasons_stayed_chicago_at,"[9, 13, 38, 39, 42]",74,four_seasons_chicago_stayed_trump,42,dc_jefferson_washington_fairfax_stay,0.8525773759452364
27,76,shower_bathroom_view_room_the,"[6, 7, 12, 16, 20, 25]",60,bed_comfortable_beds_rooms_are,68,bathroom_shower_view_suite_room,0.8511721985729724
26,75,stay_again_here_will_back,"[18, 29, 32]",54,stay_again_here_would_definitely,29,back_will_return_be_definitely,0.8395641064193466
