,-1_and_the_to_we,0_location_shopping_walk_walking,1_de_et_le_est,2_experience_say_it_overall,3_shower_bathroom_tub_bath,4_view_floor_views_room,5_seasons_four_baltimore_regis,6_staff_friendly_helpful_very,7_pool_area_swimming_small,8_nyc_york_new_ny,9_breakfast_morning_buffet_breakfasts,10_bar_drinks_lounge_drink,11_di_il_la_che,12_bed_comfortable_pillows_beds,13_noise_quiet_hear_loud,14_staff_hotel_friendly_helpful,15_service_customer_impeccable_friendly,16_suite_upgraded_king_deluxe,17_hotel_this_recommend_highly,18_location_hotel_located_is,19_spa_massage_massages_use,20_rooms_are_spacious_comfortable,21_food_delicious_tasty_meal,22_rate_rates_price_night,23_el_que_de_en,24_gym_fitness_workout_facility,25_hotel_decor_historic_renovated,26_lol_cooney_genial_russian,27_housekeeping_job_clean_turn,28_internet_wifi_free_wi,29_back_will_return_be,30_coffee_tea_maker_nespresso,31_stay_here_overall_wonderful,32_bags_bellman_car_valet,33_desk_front_helpful_professional,34_lobby_gorgeous_is_small,35_stayed_nights_august_here,36_boston_harbor_common_our,37_again_would_here_stay,38_concierge_helpful_suggestions_reservations,39_bill_fixed_phone_me,40_carlton_ritz_charlotte_at,41_ritz_at_fabulous_stay,42_champagne_bottle_chocolate_anniversary,43_trump_soho_chicago_returned,44_chicago_in_best_stay,45_dc_jefferson_washington_fairfax,46_decor_furnishings_style_modern,47_hotels_stayed_ve_best,48_mandarin_oriental_boston_at,49_property_this_overall_save,50_location_great_rooms_service,51_dinner_eat_restaurant_closed,52_elevator_elevators_floor_key,53_worth_expensive_penny_cheap,54_nyc_standards_manhattan_rooms,55_00_ten_10_ouch,56_star_five_stars_hotel,57_cribs_stuffed_toy_her,58_relaxing_atmosphere_relaxed_relax,59_parking_valet_35_seems,60_air_conditioning_conditioner_temperature,61_anniversary_celebrate_wedding_our,62_stations_restaurants_restaurant_dining,63_early_ready_check_call,64_star_stars_five_category,65_room_nice_was_lovely,66_check_fast_quick_efficient,67_mirror_tv_bathroom_built,68_called_reservation_incident_did,69_return_will_again_back,70_ipad_cd_iphone_bose,71_san_diego_francisco_located,72_tv_channels_large_hd,73_waldorf_astoria_towers_grandest,74_surrey_london_palms_royal,75_seattle_puget_sound_fairmont,76_grounds_garden_maintained_beautiful,77_here_will_again_staying,78_highly_recommended_recommend_agno,79_turn_turndown_down_service,80_smell_odor_smelled_mildew,81_dirty_clean_carpets_dusty,82_service_room_poor_znd,83_ice_water_cold_pack,84_conrad_shack_shake_new,85_room_spotless_noticed_huge,86_valet_desk_front_staff,87_clean_spacious_modern_room,88_welcoming_smiling_smile_greeted,89_slippers_robes_toiletries_sized,90_hyatt_park_chicago_connection,91_restaurant_excellent_refurbishing_michelle,92_la_vibe_confortably_specialy,93_fairmont_olympic_rates_swish,94_towels_soft_bath_towel,95_reservations_mentions_reservation_any,96_peninsula_3x_oue_cheep,97_stayed_days_here_adams,98_desk_front_told_said,99_service_fs_hotel_this,100_tip_tipping_accept_gratuity,101_she_standing_health_her,102_name_names_by_knew,103_drawers_desk_closet_couch,104_nights_august_spent_during,105_issues_minor_few_complain
-1_and_the_to_we,0.9999999999999768,0.46590816870817714,0.04066240993123925,0.5277634285902042,0.415515501881994,0.480647846387596,0.34422269818752826,0.41613114062409884,0.41625080623316735,0.5166464227178428,0.3953163036294469,0.4664727825157603,0.033471670076986815,0.3793562142000191,0.4240024733111391,0.564768793537143,0.3874324855166802,0.4154459676484514,0.4626948127371681,0.4669977218476387,0.3329676639016321,0.385958366759883,0.3997069656279903,0.4558996310566857,0.030002130430782047,0.32485089146541474,0.4256298387898684,0.028358667147467168,0.3323557841345001,0.26533444442216136,0.1862393417597643,0.31942826125604584,0.3707648241625922,0.41486884962455967,0.3108449531074928,0.2800473502235257,0.34619886220240037,0.26552832777978524,0.20851585723584204,0.29733940446572044,0.35962578938173767,0.18530122097604146,0.272910170262012,0.29764702344131,0.305993689824687,0.33123237302505887,0.2626541714206162,0.24754947035558234,0.41715840777880586,0.22617212744205423,0.2660113427110441,0.3657172269476388,0.39049961383150533,0.3099697057864166,0.18026537224143563,0.3988136419079999,0.05843604079995691,0.33816110953207945,0.33317510537677675,0.3161576042749792,0.2226860234956172,0.24073292322920334,0.23589329289026598,0.30937979269059757,0.3666680019063104,0.16189213859266283,0.3135436677557039,0.17126633634557814,0.1906943112809285,0.3844832210754732,0.3161997653469655,0.275656093345803,0.19950453432119103,0.22690271012172453,0.21471528314949317,0.230003091222597,0.20322973974570005,0.17949515653801582,0.2807888891725881,0.057550937863912424,0.2413411572706768,0.2522217418041545,0.2603520915291787,0.3066050437576752,0.2708668263857105,0.21533245521080047,0.25089247024078826,0.24836992796270266,0.27353913874644437,0.30992027445400205,0.15618559593799347,0.2190727248964281,0.23780142793476136,0.2965997845100163,0.17140952595460462,0.23144718725138336,0.2567299763711083,0.16929587436819413,0.2785419434676407,0.2981379092812284,0.27888400724248213,0.24453374210638004,0.27665231947147856,0.23912882974848343,0.23529148592992827,0.21679843272553562,0.2012076577829143
0_location_shopping_walk_walking,0.46590816870817714,0.9999999999999992,0.02680252441713484,0.2557479551295249,0.17495899647990626,0.24810013755120058,0.17344307867217892,0.15337188567504384,0.18543767806718967,0.2657594737675373,0.17242010459718124,0.19642292660470126,0.020948826697827258,0.15050889014218063,0.23618756156825851,0.21829454283577626,0.15073458786829003,0.14758993460136166,0.2054614587845661,0.7058494408846928,0.1608419155845801,0.1566285094539034,0.16068698146993984,0.19574301932259452,0.009581294322511258,0.17367334410761262,0.1766955066864721,0.014100198597085044,0.11414107693791985,0.11766784001367703,0.07240703308000652,0.1346838026542619,0.14514124829758468,0.17939231037236375,0.11374095769365268,0.14698832236080955,0.10983340628957926,0.17145703398793224,0.07399387085677642,0.12879950747538788,0.13661862778693015,0.08558059274826227,0.11867828589471188,0.09112289672567925,0.17531010059918506,0.18436914897179021,0.15793144228629394,0.12649345408730203,0.15361750183186273,0.1020104599025468,0.12872108872229085,0.3410526185671313,0.1693976832358973,0.157692133432892,0.08600853217244057,0.1712143196677527,0.036545928691280344,0.1524355288063986,0.11922260105527914,0.2032934202379501,0.12327770986185245,0.09687721352546877,0.0751686057882345,0.22915702200801094,0.12383273692230685,0.07498299484306893,0.11502646606069061,0.06328701193962798,0.07954869401035308,0.12834376836209951,0.11869976311609057,0.13734147641821828,0.17393297050991025,0.08509667499955469,0.09718170337004389,0.09247229774859829,0.17504357118553557,0.12970620057126486,0.11860087659654804,0.018913256856822977,0.09838363574812571,0.11192957962983711,0.09440620007429724,0.09533635512711973,0.11312630046267122,0.1397505283104479,0.09604235311590495,0.08815417824999482,0.06590493614417488,0.08778327554429342,0.05980056180269965,0.10941331358558577,0.1352325508384166,0.1778126316020675,0.08000988139709085,0.0821708415223507,0.11169503894999391,0.068092235862544,0.0938973007059994,0.08228666695414079,0.12973493255491259,0.0993024494000411,0.10176614256734476,0.07527369711092169,0.10165515362726109,0.08166905799720674,0.07025056996828592
1_de_et_le_est,0.04066240993123925,0.02680252441713484,0.9999999999999993,0.011149848128686506,0.011218887829783189,0.02254775802149638,0.013813820865117671,0.008547128411967687,0.022458556972882075,0.03765224233537892,0.019853110283077253,0.032973341548317575,0.12130420670724532,0.010003797161483169,0.011231907772517553,0.014978638408263942,0.021760796491612156,0.025471071300429228,0.024708880211525293,0.026500700496738635,0.019536555779300406,0.009909435584874601,0.019502440706933945,0.014081211497663856,0.2111409047580135,0.015140265865120949,0.014480217623562554,0.019512871754676864,0.00909384466485645,0.014017889057961341,0.0034188686687041062,0.014329452047618397,0.005919649813050458,0.011724332271494588,0.009973068341440069,0.012719211248565268,0.01074239774715352,0.007189922704203133,0.001378310358652672,0.01259130863985295,0.010275611135001465,0.032473848036271374,0.009244343308359139,0.011078620413247761,0.018951928037972795,0.01600485665236836,0.011051726455272342,0.006227329221655639,0.013275716256409102,0.023931636004942008,0.004937727440760085,0.012941203987031167,0.015459947111812545,0.008686279140455276,0.0020124357593052453,0.02535433873305245,0.0036310940019363483,0.011284676798064606,0.008984836259134066,0.005277118041256865,0.020703920204163426,0.006680113839351763,0.004793293257209787,0.02675895289135165,0.008978852318658755,0.007222317654712682,0.003584476622081586,0.008454588694292135,0.006882407839257796,0.011251551392193944,0.010854802458960578,0.00885551682702777,0.01661242063609275,0.013958156358220316,0.015697838398680334,0.008892535493697208,0.007357599144308584,0.0029283695723621795,0.005180554600823553,0.0008396649032601984,0.011584379301799015,0.006105730883669094,0.007232554011042398,0.016394415692400383,0.0074169670017029555,0.021147794466626263,0.002588946503062035,0.007989587144375835,0.005430055216582239,0.0029912652324099905,0.003275132896709406,0.019259727953735394,0.022516871839575073,0.08726530746323781,0.005693898582535374,0.003890084358811718,0.009112376153484252,0.006219218306092827,0.005634940637199913,0.005180768886682962,0.023992938764160143,0.007598624847143522,0.006326427752267752,0.003881791592323033,0.008855738266234916,0.011265975450651436,0.0018115595308386106
2_experience_say_it_overall,0.5277634285902042,0.2557479551295249,0.011149848128686506,1.0000000000000009,0.203635565229249,0.22599317082021947,0.21994027457834278,0.22343606915619832,0.2091247701625791,0.2972183281602699,0.20177480206935072,0.2289920238345968,0.005475774618849443,0.19532618457567014,0.22151989316072684,0.3101869612626611,0.2627965963203571,0.18764161942643237,0.376332119745508,0.2123947733691946,0.20082225439015597,0.17032886344384804,0.23390157664952813,0.2904456395177498,0.011105012209263259,0.1739181396161579,0.23233848879044294,0.02881814807662235,0.14646263010027757,0.14181766377883834,0.1283806152347703,0.15652770606318667,0.309016856263255,0.1684522538876175,0.13050907569064296,0.12844810368707793,0.1332863011654644,0.1308543900888352,0.10075052896020943,0.14379161867258192,0.1868387427188761,0.09279016073835959,0.16426621446361103,0.12175498385474552,0.1664964539692712,0.17796933760088318,0.13834571998485662,0.16772778322684628,0.25135009918746787,0.12858813193681423,0.21188024896597432,0.21097109442231693,0.17818584352357256,0.14956978395488674,0.15357393795667584,0.18457714428547695,0.026914857754092227,0.2501894978275908,0.15880576690381742,0.1935486125560206,0.11936224731604851,0.1410308876639545,0.09182929635388497,0.13568834087409745,0.1641948194678088,0.11392430403774663,0.23415464400281227,0.0953373909486775,0.10164105176001924,0.1981321518624274,0.16825160032948316,0.13977996057716136,0.09445187370939888,0.11116061712640381,0.11653280739157032,0.11048533596970425,0.11257279893073693,0.08962084881287898,0.15054723508072423,0.03250430242917814,0.12629043903888973,0.12266666841268115,0.1167921852527561,0.16477519583718483,0.13992854201212673,0.10145944484878223,0.15059625418709044,0.09263984535151647,0.09236087671619468,0.17035307791433635,0.059463411496881634,0.13114749348986884,0.1218574559732026,0.17681539324805268,0.1252966789517609,0.11918969573009931,0.12823905668300523,0.16323660002535156,0.1723038554962059,0.14710133510069281,0.192500843199496,0.17538552259716303,0.15145899513125496,0.1387676226440285,0.08206288715504773,0.0792644266326074,0.16284465929594297
3_shower_bathroom_tub_bath,0.415515501881994,0.17495899647990626,0.011218887829783189,0.203635565229249,1.000000000000001,0.23790765694275295,0.13195924629873396,0.13503254365297715,0.19968802508857827,0.18064049959044634,0.1464618039244453,0.17790721086935363,0.006856579316917082,0.1858231326346329,0.20526657852196722,0.20189961836016754,0.12846450635614987,0.2247710739827341,0.15900177114621566,0.17374318136413658,0.15348463137678034,0.2538931726644656,0.14988087514141868,0.17622456243082357,0.0078013993756455,0.15977045068664916,0.19958205835936763,0.009684051181458578,0.1465135174834954,0.10996136784603475,0.055454665213394434,0.14322467612279938,0.12864115742802512,0.13864125415242254,0.10095094629091485,0.11919449746468719,0.10882027980651719,0.09963214066076258,0.06919218078955722,0.08790411244031675,0.12980825156142645,0.07208510045460445,0.10199442165903716,0.1146664664332619,0.11144016167660495,0.1170926133666691,0.09007122597164098,0.13158622774302622,0.15405814597209982,0.10049743068091008,0.09138755246273729,0.20658280877563814,0.13324803314227926,0.12584457948443928,0.06845195272674374,0.2758037816763106,0.018182824533208478,0.12080640833529373,0.12922231339889317,0.12480690110115474,0.08337122709857983,0.12093793799625455,0.06966861344141292,0.11516561459530589,0.14222832252117446,0.06848415266410221,0.1700870628458266,0.054771569309901125,0.3031645881952637,0.15305911998733782,0.09069200600864441,0.1321443638492425,0.06725426543259715,0.16903872545164,0.07441352067327975,0.0757755354961761,0.07747645416461973,0.08734110852785296,0.0886772331118314,0.01296552852279594,0.12239502708904511,0.19074176498995288,0.17112680317943674,0.12387117766570009,0.126702140052235,0.07737052239892449,0.17235120970299586,0.07584711319764463,0.17140711827412058,0.10439072014023795,0.1418115191318127,0.10145019976518758,0.06468154773284089,0.1051609577325029,0.06137036612134904,0.1468966968219864,0.07878197090140031,0.055553514013602326,0.08675408651175753,0.09461394362202297,0.10172031388219961,0.09684885822641767,0.10132540732832429,0.08047930170573396,0.24991592682424715,0.05260478627920904,0.09028905724288888
4_view_floor_views_room,0.480647846387596,0.24810013755120058,0.02254775802149638,0.22599317082021947,0.23790765694275295,1.0000000000000038,0.1538094387515951,0.14116682965622834,0.22992402770241552,0.24651187063312785,0.189684947797211,0.21619226385573245,0.015165814823881248,0.1772174613129677,0.2932341424933822,0.2011681811905957,0.14455689110403502,0.338833557527859,0.16692732483048495,0.2450876130731054,0.14381368262825797,0.25502380925106655,0.1802462163468299,0.21731395573021237,0.007687026188644202,0.18398047391338315,0.18730330002132542,0.01656696596787042,0.16019755350174728,0.11400841459027039,0.06070989073282735,0.1383189645931917,0.1498136086749503,0.16105714382293776,0.1168623139240829,0.1447740147477599,0.15638877008931126,0.18378894654141015,0.05481825882446687,0.10733804911936201,0.1428199021282145,0.10371618200549604,0.1105812515203631,0.14807145611737904,0.14148705276139426,0.14902370125156295,0.11390498950711167,0.11025388440959218,0.17452310916987207,0.09715390591598323,0.09295571563926301,0.22972178050794875,0.17959129257480294,0.21502764517811643,0.07054735058186896,0.25308876331601377,0.030791555481861115,0.11846624143914093,0.1638403724970181,0.13712091085145978,0.09108674476690085,0.13756259800961684,0.11643140247463774,0.13266402077559886,0.1917974800424599,0.06711003236457569,0.2181085406665985,0.06866632108293477,0.0969944066014267,0.16365639771896995,0.09205987359155049,0.149236835643944,0.08373825068987556,0.14095806744017667,0.09867922791628615,0.10410477977020033,0.15400361832215095,0.11782538165927833,0.09437403091485845,0.02133842392315012,0.10511050499561045,0.1581690605569935,0.19129752805645583,0.16603613962424124,0.11828913874780583,0.12998319770243524,0.16445317036166232,0.09073539906106835,0.1778167741643869,0.10181218116962669,0.06455884075734745,0.14412107732100876,0.0743440011388302,0.14735333258923772,0.07459695225670229,0.10572581622001176,0.10097367927931833,0.07409206411889681,0.13101631376875594,0.12182741171131178,0.09758804686608989,0.09394631581470943,0.12656113914571052,0.08313215444955563,0.1384815192172192,0.08409581640751566,0.10390766161913673
5_seasons_four_baltimore_regis,0.34422269818752826,0.17344307867217892,0.013813820865117671,0.21994027457834278,0.13195924629873396,0.1538094387515951,1.0000000000000024,0.12441191793191424,0.13494662410301725,0.25263434376492283,0.1375082436248609,0.1409197374018375,0.014267185469585362,0.11376966206890776,0.14366328813017293,0.19807908129527182,0.14602155576892695,0.14262067176769444,0.20216778319039969,0.1765967306614874,0.11393195902458825,0.11971240713249114,0.13316972255700596,0.17243576924451134,0.018249745125533175,0.10725058283837968,0.16076763612096834,0.010380781396734486,0.10012742929208199,0.09069210794657846,0.07399957187568991,0.10587067931667782,0.15390898632852648,0.10500104433632255,0.0840254224156382,0.08578864527074907,0.19003733939110182,0.19365357162759136,0.08612980223264394,0.0852500534911849,0.11452430797595545,0.14143343058458874,0.13825448604396123,0.07777055274630539,0.13886238949255503,0.23706233255272227,0.1682812571291347,0.08469855003260784,0.22168755919062488,0.13131437524822048,0.14877269873285454,0.1788529419139668,0.12592059789678678,0.13283633467030392,0.06578367180903966,0.16181836422305476,0.01357159301678747,0.17334724639312174,0.13368345207524954,0.1015036850302451,0.07399544888788823,0.07728472737066784,0.11013504840026941,0.0975810920616326,0.10419647500537003,0.08865314104402881,0.08695116687578945,0.04681177637067393,0.058611888593112456,0.11783540999703553,0.12750613438013744,0.07963666217569758,0.14248962658237352,0.06423371908164952,0.11617722715691282,0.12338827240783556,0.11266009260274894,0.053525585881975375,0.12325127295422082,0.0353582473980516,0.07794242059547096,0.08620655174336206,0.08433170516172128,0.1033634715767504,0.07924621914532443,0.09681822214277844,0.06400424270066879,0.06418411722903544,0.0551616655558059,0.13565713563064546,0.03941549717797075,0.11981919584739371,0.07098279641765265,0.14354773416861824,0.08916046418334907,0.1008194848048068,0.07439940244718256,0.08867875587193706,0.15006769096941164,0.07122498231175982,0.12207750155702381,0.0749860980465218,0.07006207538920167,0.07749744114634258,0.058284512799802214,0.15087509978828617,0.06040157086355509
6_staff_friendly_helpful_very,0.41613114062409884,0.15337188567504384,0.008547128411967687,0.22343606915619832,0.13503254365297715,0.14116682965622834,0.12441191793191424,0.9999999999999984,0.16969297436770253,0.1795844880008386,0.14677590358863665,0.1751994052344503,0.006588434611308259,0.16549290392813068,0.151191992557914,0.704507530258562,0.319743087137382,0.1317154117339253,0.1482975337183202,0.14997764952118164,0.13993644301363986,0.1407871117275954,0.16439435514541467,0.140777242358033,0.006264113439237179,0.11645329577616519,0.14488585718027347,0.013083476046470324,0.17219027350693084,0.08752629157849909,0.04671058532337995,0.1014036624091926,0.1612906919219903,0.15260971198064122,0.360599346226883,0.1018785429550767,0.0784903015699545,0.08412347040817318,0.06647118457457352,0.22478275022016397,0.11701783703502693,0.06524615371304136,0.12160677775763325,0.11410991841009702,0.11354716294117956,0.11697140189049117,0.10411899916190764,0.09381953009267886,0.13594327839922002,0.07787808919297734,0.10049848132266528,0.2343700267838948,0.11267148298441462,0.10370295913578766,0.07332001877252001,0.13347161809873365,0.014439106375087725,0.13291200344926943,0.14725257885229326,0.12982085997094464,0.0985721738723775,0.08703130359831476,0.06326783482013841,0.08740176830506967,0.11136141632531396,0.06603964053845299,0.12943043220044229,0.1126821108388209,0.05779274035176568,0.13543878654969135,0.08535367810639051,0.10985930666362015,0.053707477530543675,0.06414463233095367,0.07414194037770255,0.07431606087509549,0.08159578432719396,0.0892855311990213,0.08196128555499224,0.01726958941312994,0.08935377129304893,0.07442161504550493,0.09164764654067871,0.10559406996537053,0.09751173048839865,0.0719087894258219,0.07316329744624475,0.32689229669383935,0.08305251591990478,0.3128409609911176,0.059808376293632094,0.09077538308380727,0.11801801672523378,0.11898289606195667,0.06411981184684741,0.09014409503703205,0.11295430536594336,0.07768152015106734,0.08212474336276317,0.13328411924534264,0.1244530402019255,0.09570323911757776,0.08280252242684882,0.13296482907643192,0.06449387875729999,0.04116435781938631,0.07445790986884553
7_pool_area_swimming_small,0.41625080623316735,0.18543767806718967,0.022458556972882075,0.2091247701625791,0.19968802508857827,0.22992402770241552,0.13494662410301725,0.16969297436770253,0.9999999999999994,0.2078479181199964,0.17684995793291353,0.23463724839871264,0.00905209584323835,0.15429192638392905,0.19709614019342042,0.24193435453659257,0.1525784202595962,0.1626708276764234,0.16966670570574044,0.18817616714857485,0.1897520548381893,0.17182691771292077,0.17835393424649693,0.17973562333307022,0.012078749395545244,0.26041817842055714,0.1730572570367797,0.011925619921786047,0.13253572739674274,0.10668612021759565,0.05917049985796142,0.13163065648572253,0.14464072108188322,0.15253322137123237,0.11121504725226145,0.1507651318058519,0.14806381987850356,0.10927364334136118,0.06745489060099948,0.1079237621951376,0.1380130837234661,0.07005824796282348,0.11362227329304905,0.11769145167498694,0.12507203580079726,0.13211619698378654,0.10105419518671557,0.10103278650910529,0.14515424647641006,0.0895378523406009,0.10663945735547856,0.18142982765494695,0.17116756741587055,0.14738964637213703,0.07262733155042089,0.17373434662381984,0.024519951439005507,0.1262596743235607,0.15625987084712875,0.151405868318013,0.09042248758910051,0.1086397515902846,0.09019353584114731,0.13200132867533204,0.15198759835984482,0.05885015365708347,0.1361107525070336,0.0665433357586488,0.08677647128133792,0.14626110589559574,0.09134035211488076,0.13444557787371947,0.08077518129239519,0.0953509964875363,0.07961096925434705,0.08643978826333852,0.09024063858948403,0.14781114298416959,0.09450347732933617,0.023725149701363545,0.12993651443635035,0.11171888094713534,0.10627326980339871,0.11965635209742514,0.12489110585599417,0.08801874559857274,0.10892646660045065,0.12634440418922216,0.1356697823870324,0.1216023485064607,0.07482265961342702,0.08353364774083118,0.08257020864187052,0.11209767272974898,0.06562427174863422,0.13695471533172054,0.08473870369872917,0.0625737207278312,0.09841493579376491,0.09762994274890613,0.09952407556712312,0.10073875723800448,0.10155694010735357,0.10354115806642986,0.12872647371803528,0.07933251400249373,0.10352581644804312
8_nyc_york_new_ny,0.5166464227178428,0.2657594737675373,0.03765224233537892,0.2972183281602699,0.18064049959044634,0.24651187063312785,0.25263434376492283,0.1795844880008386,0.2078479181199964,1.0000000000000036,0.18957840202452492,0.22493580586691336,0.02778607084284347,0.16031804771509278,0.2202899240765417,0.2784641827827564,0.1690310974664931,0.17625798431932602,0.3222188129360198,0.2738948447942847,0.17669663707048144,0.15910302080306285,0.17645300847631937,0.2892061471724233,0.020142146012241804,0.1595554492047399,0.22603509830607743,0.016354303220251047,0.15520328787119564,0.13717167751835882,0.18048591402447198,0.14987923451421375,0.2394709958055619,0.17969877705976822,0.12123614402208115,0.12014188915319424,0.26986686522650916,0.19634869802128785,0.1893918624700273,0.13272876308610024,0.1711845647719387,0.11663240531118868,0.16816254053111043,0.13337026591157183,0.23132557810500476,0.23182326961220306,0.1929248120598516,0.11274132967816247,0.3220247753199286,0.18450397022381995,0.16424365401012736,0.16083125696209652,0.19196204795523403,0.15990779526923454,0.1161693157113173,0.5099117056855405,0.029641251389437358,0.2048291863197964,0.1590399706965778,0.18009050924611508,0.11470373588442125,0.10848229943709224,0.17898673496691714,0.16251788450500318,0.17358496855820735,0.0822521823345831,0.12413288620804712,0.07199844513699642,0.06776430092376755,0.1840911317495999,0.276097863471179,0.11576140985327525,0.1459747379176768,0.09998053638862382,0.172451047973487,0.23377799219818438,0.11333117640622065,0.07065621906996504,0.2690078612360749,0.08998236110629099,0.09793825084842916,0.1197039166464467,0.13066248909424277,0.1391259191420943,0.12380395727296285,0.21553811103155193,0.09291760696207634,0.08703216912282334,0.08391572479309893,0.14570446550120916,0.062208649812026555,0.1377512118664681,0.1149044722452153,0.20314820453216184,0.1273644226133432,0.09806761434432783,0.11536397765651976,0.1392036890593222,0.2072528497514741,0.11835913902792936,0.14573352905162512,0.1167434208786745,0.1207706328256034,0.11551940545842876,0.10564169898361815,0.17609638257187807,0.09371391724766032
